REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2010,5,3,1,1,2,1,4
2010,15,3,1,1,2,1,9
2010,155,3,2,1,1,1,3
2010,10,3,2,1,1,1,9
2010,150,3,2,1,2,1,3
2010,10,3,2,1,2,1,9
2010,415,3,4,1,1,1,3
2010,5,3,4,1,1,1,6
2010,5,3,4,1,1,1,8
2010,15,3,4,1,1,1,9
2010,5,3,4,1,1,1,10
2010,5,3,4,1,2,1,2
2010,400,3,4,1,2,1,3
2010,5,3,4,1,2,1,4
2010,25,3,4,1,2,1,9
2010,330,4,1,1,1,1,4
2010,5,4,1,1,1,1,5
2010,10,4,1,1,1,1,9
2010,5,4,1,1,2,1,3
2010,315,4,1,1,2,1,4
2010,5,4,1,1,2,1,8
2010,20,4,1,1,2,1,9
2010,190,4,2,1,1,1,4
2010,180,4,2,1,2,1,4
2010,5,4,2,1,2,1,9
2010,25,4,3,1,1,1,4
2010,30,4,3,1,2,1,4
2010,545,4,4,1,1,1,4
2010,5,4,4,1,1,1,5
2010,10,4,4,1,1,1,9
2010,5,4,4,1,2,1,3
2010,525,4,4,1,2,1,4
2010,5,4,4,1,2,1,8
2010,25,4,4,1,2,1,9
2010,5,5,1,1,1,1,2
2010,2680,5,1,1,1,1,5
2010,5,5,1,1,1,1,9
2010,2645,5,1,1,2,1,5
2010,5,5,1,1,2,1,9
2010,2220,5,2,1,1,1,5
2010,2205,5,2,1,2,1,5
2010,5,5,2,1,2,1,6
2010,5,5,2,1,2,1,9
2010,2360,5,3,1,1,1,5
2010,10,5,3,1,1,1,6
2010,10,5,3,1,1,1,9
2010,2360,5,3,1,2,1,5
2010,10,5,3,1,2,1,6
2010,10,5,3,1,2,1,9
2010,5,5,4,1,1,1,2
2010,7260,5,4,1,1,1,5
2010,10,5,4,1,1,1,6
2010,15,5,4,1,1,1,9
2010,7210,5,4,1,2,1,5
2010,15,5,4,1,2,1,6
2010,20,5,4,1,2,1,9
2010,5,6,1,1,1,1,1
2010,20,6,1,1,1,1,5
2010,4555,6,1,1,1,1,6
2010,5,6,1,1,1,1,7
2010,20,6,1,1,1,1,8
2010,35,6,1,1,1,1,9
2010,25,6,1,1,1,1,10
2010,5,6,1,1,2,1,1
2010,5,6,1,1,2,1,3
2010,25,6,1,1,2,1,5
2010,4505,6,1,1,2,1,6
2010,5,6,1,1,2,1,7
2010,15,6,1,1,2,1,8
2010,65,6,1,1,2,1,9
